folder;techno_modifiee;gwp_constr;f_BATT_LI;f_BEV_BATT;f_BIOFUELS;f_GAS_STORAGE;f_H2_STORAGE;f_PHEV_BATT;f_TS;f_TS_DEC_DIRECT_ELEC;f_TS_DEC_HP_ELEC;f_TS_DHN_DAILY;f_TS_HIGH_TEMP;f_LFO_STORAGE;f_AMMONIA_STORAGE;f_METHANOL_STORAGE;f_GASOLINE_STORAGE;f_DIESEL_STORAGE;f_TS_DHN_SEASONAL;f_TS_DEC_BOILER_WOOD;f_TS_DEC_THHP_GAS;f_TS_DEC_BOILER_GAS;f_TS_DEC_BOILER_OIL;f_TS_DEC_COGEN_OIL;f_TS_DEC_COGEN_GAS;f_TS_DEC_ADVCOGEN_H2;f_TS_DEC_ADVCOGEN_GAS;f_PHS
Techno_BATT_LI_gwp0;BATT_LI;0.0;149.180156;4,00E-06;;0.002396;0.000448;3,00E-06;;6.6e-05;34.739272;0.000138;33.992133;0.728066;0.727659;0.727486;0.729519;0.731442;722.942473;6.6e-05;6.6e-05;6.6e-05;6.6e-05;6.5e-05;6.6e-05;6.5e-05;6.5e-05;5.000001
Techno_BATT_LI_gwp1;BATT_LI;1.2999999999999972;121.270062;2,00E-05;;0.00949;0.001763;1.3e-05;;0.000288;35.091069;0.000597;33.688676;2.717041;2.707539;2.706178;2.715341;2.704486;723.566247;0.000289;0.000289;0.000288;0.000288;0.000287;0.000288;0.000286;0.000286;5.00136
Techno_BATT_LI_gwp6;BATT_LI;6.299999999999997;75.060941;2.2e-05;;0.009938;0.001803;1.4e-05;;0.000281;43.519231;0.000666;70.555552;2.672441;2.667095;2.664455;2.671348;2.661817;737.58687;0.000281;0.000281;0.000281;0.00028;0.00028;0.00028;0.000279;0.000279;6.483339
Techno_BATT_LI_gwp11;BATT_LI;11.299999999999995;68.546904;5,00E-06;;0.002448;0.000451;3,00E-06;;7,00E-05;51.279565;0.000172;70.33585;0.633599;0.630499;0.629907;0.630576;0.628965;748.478822;7,00E-05;7,00E-05;7,00E-05;7,00E-05;6.9e-05;7,00E-05;6.9e-05;6.9e-05;6.474654
Techno_BATT_LI_gwp16;BATT_LI;16.299999999999997;66.269032;2.4e-05;;0.009376;0.001878;1.7e-05;;0.000386;53.810716;0.000862;70.302502;3.2295;3.248338;3.268533;3.352319;3.298322;763.092899;0.000387;0.000387;0.000387;0.000386;0.000385;0.000385;0.000383;0.000383;6.402992
Techno_BATT_LI_gwp21;BATT_LI;21.3;60.737772;2.8e-05;;0.012387;0.002396;1.7e-05;;0.000414;53.810738;0.001024;70.205416;3.302725;3.250556;3.244338;3.237105;3.222941;805.815389;0.000415;0.000415;0.000415;0.000415;0.000413;0.000414;0.000411;0.00041;6.498131
Techno_BATT_LI_gwp26;BATT_LI;26.3;59.89814;3,00E-06;;0.001742;0.000319;2,00E-06;;3.9e-05;53.81073;0.000114;70.078498;0.544603;0.544291;0.544146;0.544419;0.544164;811.738538;3.9e-05;3.9e-05;3.9e-05;3.9e-05;3.9e-05;3.9e-05;3.9e-05;3.9e-05;6.499962
Techno_BATT_LI_gwp31;BATT_LI;31.3;58.823935;2.4e-05;;0.009977;0.001892;1.5e-05;;0.000294;53.810737;0.001277;70.072599;2.911068;2.923489;2.938214;2.992461;2.954995;819.193901;0.000294;0.000294;0.000294;0.000294;0.000293;0.000294;0.000293;0.000292;6.498155
Techno_BATT_LI_gwp36;BATT_LI;36.3;57.281272;1.9e-05;;0.007943;0.001539;1.1e-05;;0.000241;55.069526;0.000756;70.153093;2.15132;2.136342;2.133874;2.138014;2.127554;836.694812;0.000241;0.000241;0.000241;0.000241;0.000241;0.000241;0.00024;0.000239;6.499857
Techno_BATT_LI_gwp41;BATT_LI;41.3;53.553894;1,00E-06;;0.000582;0.00012;1,00E-06;;1.6e-05;59.86236;4.5e-05;70.666674;0.188352;0.188583;0.188759;0.190012;0.189381;857.05733;1.6e-05;1.6e-05;1.6e-05;1.6e-05;1.6e-05;1.6e-05;1.6e-05;1.6e-05;6.499967
Techno_BATT_LI_gwp46;BATT_LI;46.3;50.875223;1.1e-05;;0.005453;0.002179;8,00E-06;;0.000174;61.68365;0.000521;70.118842;1.783402;1.789664;1.796509;1.81331;1.802791;896.900484;0.000174;0.000174;0.000174;0.000174;0.000173;0.000173;0.000173;0.000173;6.499683
Techno_BATT_LI_gwp51;BATT_LI;51.3;48.045916;2,00E-06;;0.001221;0.000233;1,00E-06;;3.1e-05;60.71263;0.000101;70.173811;0.371201;0.370112;0.370034;0.370508;0.370142;948.996477;3.1e-05;3.1e-05;3.1e-05;3.1e-05;3.1e-05;3.1e-05;3.1e-05;3.1e-05;6.499987
Techno_BATT_LI_gwp56;BATT_LI;56.3;46.455649;8,00E-06;;0.003626;0.00084;5,00E-06;;9.7e-05;60.434143;0.000342;70.284151;1.159987;1.183267;1.194661;1.214351;1.205783;1003.333004;9.7e-05;9.7e-05;9.7e-05;9.7e-05;9.7e-05;9.7e-05;9.7e-05;9.7e-05;6.499802
Techno_BATT_LI_gwp61;BATT_LI;61.3;46.351392;1,00E-05;;0.005185;0.00116;6,00E-06;;0.000137;60.365521;0.000449;70.195414;1.666019;1.670303;1.673714;1.685903;1.675948;1003.798875;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;6.499886
Techno_BEV_BATT_gwp0;BEV_BATT;0.0;2.3e-05;368.867477;;0.006852;0.001326;1.1e-05;;0.000234;51.798658;7.4e-05;71.308885;1.9646;1.962574;1.97437;1.992795;1.974984;747.62858;0.000234;0.000234;0.000234;0.000234;0.000233;0.000233;0.000232;0.000232;6.456308
Techno_BEV_BATT_gwp1;BEV_BATT;1.2999999999999972;46.350681;0.001651;;0.003662;0.000962;7,00E-06;;0.000153;60.365501;4.3e-05;70.195488;1.124872;1.110376;1.111704;1.114468;1.105391;1003.810765;0.000154;0.000153;0.000153;0.000153;0.000153;0.000153;0.000152;0.000151;6.499928
Techno_BEV_BATT_gwp6;BEV_BATT;6.299999999999997;46.351214;8.3e-05;;0.003244;0.000765;5,00E-06;;9.9e-05;60.365524;3.6e-05;70.195603;0.976366;0.976252;0.980656;0.987405;0.979989;1003.794358;9.9e-05;9.9e-05;9.9e-05;9.9e-05;9.9e-05;9.9e-05;9.9e-05;9.9e-05;6.499932
Techno_BEV_BATT_gwp11;BEV_BATT;11.299999999999995;46.351125;4.3e-05;;0.002734;0.000639;5,00E-06;;9.6e-05;60.365527;3,00E-05;70.195791;0.810939;0.804512;0.804641;0.808223;0.801349;1003.790215;9.6e-05;9.6e-05;9.6e-05;9.6e-05;9.6e-05;9.6e-05;9.5e-05;9.5e-05;6.499961
Techno_BEV_BATT_gwp16;BEV_BATT;16.299999999999997;46.351462;7.3e-05;;0.008676;0.001975;1.2e-05;;0.000261;60.365528;9.2e-05;70.194956;2.461196;2.453677;2.452816;2.457238;2.447402;1003.842509;0.000262;0.000261;0.000261;0.000261;0.00026;0.000261;0.000259;0.000259;6.499919
Techno_BEV_BATT_gwp21;BEV_BATT;21.3;46.351557;5.9e-05;;0.007908;0.001795;1.3e-05;;0.000274;60.365525;0.000112;70.194934;1.815257;1.799776;1.800606;1.807177;1.799034;1003.801365;0.000274;0.000274;0.000274;0.000274;0.000273;0.000273;0.000271;0.000271;6.499872
Techno_BEV_BATT_gwp26;BEV_BATT;26.3;46.351432;5.4e-05;;0.011416;0.002609;1.5e-05;;0.000346;60.365525;0.000121;70.194378;3.202301;3.185581;3.18325;3.184767;3.176227;1003.807703;0.000347;0.000346;0.000346;0.000346;0.000345;0.000345;0.000343;0.000343;6.499913
Techno_BEV_BATT_gwp31;BEV_BATT;31.3;46.351735;4.2e-05;;0.009319;0.002219;1.4e-05;;0.000308;60.365532;0.000102;70.194531;2.640412;2.629223;2.62754;2.634081;2.625393;1003.805589;0.000308;0.000308;0.000308;0.000308;0.000307;0.000308;0.000306;0.000306;6.499876
Techno_BEV_BATT_gwp36;BEV_BATT;36.3;46.351246;1.4e-05;;0.004218;0.00103;5,00E-06;;0.000117;60.365522;3.9e-05;70.195403;1.339284;1.338312;1.339753;1.344116;1.344588;1003.793775;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000116;6.499934
Techno_BEV_BATT_gwp41;BEV_BATT;41.3;46.351108;8,00E-06;;0.002721;0.000595;3,00E-06;;7.4e-05;60.365528;2.5e-05;70.195811;0.806689;0.804217;0.80434;0.804989;0.803372;1003.794906;7.4e-05;7.4e-05;7.4e-05;7.4e-05;7.3e-05;7.4e-05;7.3e-05;7.3e-05;6.49997
Techno_BEV_BATT_gwp46;BEV_BATT;46.3;46.351814;2,00E-05;;0.006696;0.001623;1.1e-05;;0.000256;60.365526;7.1e-05;70.194919;2.21373;2.214472;2.228531;2.255315;2.223334;1003.796888;0.000257;0.000257;0.000257;0.000257;0.000256;0.000256;0.000255;0.000254;6.499727
Techno_BEV_BATT_gwp51;BEV_BATT;51.3;46.351589;2.2e-05;;0.00814;0.001944;1.3e-05;;0.000301;60.365546;8.8e-05;70.194796;2.419767;2.400127;2.403623;2.40748;2.395762;1003.797641;0.000302;0.000302;0.000302;0.000301;0.000301;0.000301;0.000299;0.000299;6.49979
Techno_BEV_BATT_gwp56;BEV_BATT;56.3;46.351318;1.5e-05;;0.006461;0.00148;9,00E-06;;0.000192;60.365521;6.3e-05;70.195191;1.952124;1.948756;1.947976;1.9509;1.948161;1003.796957;0.000192;0.000192;0.000192;0.000192;0.000191;0.000191;0.000191;0.000191;6.499937
Techno_BEV_BATT_gwp61;BEV_BATT;61.3;46.352946;1.8e-05;;0.00704;0.001632;1,00E-05;;0.000224;60.365517;9.3e-05;70.194919;1.892593;1.924634;1.936102;1.980558;1.960714;1003.792753;0.000224;0.000224;0.000224;0.000224;0.000223;0.000223;0.000222;0.000222;6.499388
12_Techno_BIOFUELS_gwp0;BIOFUELS;0.0;46.351959;2,00E-05;803283.422827;0.009338;0.002035;1.2e-05;;0.000261;60.365522;0.000891;70.194832;820000.416844;803283.422827;790061.258414;786243.740651;782034.276997;1003.805481;0.000262;0.000262;0.000262;0.000261;0.000261;0.000261;0.00026;0.00026;6.499774
11_Techno_BIOFUELS_gwp0;BIOFUELS;0.0001999999999999;46.351369;1,00E-05;42.534671;0.004774;0.001109;6,00E-06;;0.000124;60.365523;0.000441;70.19543;42.348239;42.534671;42.721074;43.779795;43.023386;1003.7931;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124;6.499923
10_Techno_BIOFUELS_gwp0;BIOFUELS;0.0006999999999999;46.35189;3,00E-05;28.207646;0.013455;0.003073;1.7e-05;;0.000396;60.365524;0.001276;70.19393;28.288697;28.207646;28.219853;28.289906;28.159678;1003.800059;0.000396;0.000396;0.000396;0.000396;0.000395;0.000395;0.000394;0.000393;6.499835
9_Techno_BIOFUELS_gwp0;BIOFUELS;0.0011999999999999;46.352109;2,00E-05;13.128013;0.008535;0.001881;1.3e-05;;0.000278;60.365519;0.000852;70.194874;13.10909;13.128013;13.166732;13.315267;13.17353;1003.795689;0.000278;0.000278;0.000278;0.000278;0.000277;0.000277;0.000276;0.000276;6.49973
8_Techno_BIOFUELS_gwp0;BIOFUELS;0.0016999999999999;46.351136;6,00E-06;3.079123;0.003105;0.000714;4,00E-06;;8.5e-05;60.365523;0.000277;70.195674;3.069629;3.079123;3.080891;3.102358;3.086164;1003.793867;8.5e-05;8.5e-05;8.5e-05;8.5e-05;8.5e-05;8.5e-05;8.5e-05;8.5e-05;6.499955
7_Techno_BIOFUELS_gwp0;BIOFUELS;0.0021999999999999;46.352001;3.2e-05;9.224344;0.013501;0.002976;1.9e-05;;0.000403;60.36553;0.001405;70.194166;9.227395;9.224344;9.224427;9.28704;9.220334;1003.803023;0.000404;0.000404;0.000404;0.000403;0.000403;0.000403;0.000401;0.000401;6.49977
6_Techno_BIOFUELS_gwp0;BIOFUELS;0.0026999999999999;46.35158;7,00E-06;2.348956;0.003546;0.000824;5,00E-06;;0.000104;60.365521;0.000358;70.195585;2.324241;2.348956;2.360911;2.404103;2.378303;1003.792952;0.000104;0.000104;0.000104;0.000104;0.000104;0.000104;0.000103;0.000103;6.499873
5_Techno_BIOFUELS_gwp0;BIOFUELS;0.0031999999999999;46.351161;7,00E-06;1.235082;0.002466;0.000636;4,00E-06;;8.2e-05;60.365523;0.000257;70.195732;1.242053;1.235082;1.234079;1.241748;1.229765;1003.791434;8.2e-05;8.2e-05;8.2e-05;8.2e-05;8.2e-05;8.2e-05;8.2e-05;8.2e-05;6.499953
4_Techno_BIOFUELS_gwp0;BIOFUELS;0.0036999999999999;46.350926;1,00E-06;0.205609;0.000404;9.1e-05;0.0;;9,00E-06;60.365522;2.8e-05;70.196146;0.205669;0.205609;0.205577;0.205595;0.205655;1003.78762;9,00E-06;9,00E-06;9,00E-06;9,00E-06;9,00E-06;9,00E-06;9,00E-06;9,00E-06;6.5
3_Techno_BIOFUELS_gwp0;BIOFUELS;0.0041999999999999;46.351496;3.1e-05;4.564445;0.013485;0.003126;1.7e-05;;0.000371;60.365523;0.001197;70.193805;4.594446;4.564445;4.560158;4.559658;4.549412;1003.833224;0.000371;0.000371;0.000371;0.000371;0.00037;0.00037;0.000369;0.000369;6.499909
2_Techno_BIOFUELS_gwp0;BIOFUELS;0.0046999999999999;46.351625;1.8e-05;3.023563;0.008105;0.001782;1.1e-05;;0.000241;60.365526;0.000719;70.195028;3.022056;3.023563;3.028812;3.055946;3.027513;1003.792815;0.000241;0.000241;0.000241;0.000241;0.000241;0.000241;0.00024;0.00024;6.499824
1_Techno_BIOFUELS_gwp0;BIOFUELS;0.0052;46.351025;3,00E-06;0.546181;0.001517;0.000354;2,00E-06;;3.9e-05;60.365523;0.000121;70.195948;0.545256;0.546181;0.547043;0.55;0.548106;1003.789294;3.9e-05;3.9e-05;3.9e-05;3.9e-05;3.9e-05;3.9e-05;3.9e-05;3.9e-05;6.499979
0_Techno_BIOFUELS_gwp0;BIOFUELS;0.0057;46.351392;1,00E-05;1.670303;0.005185;0.00116;6,00E-06;;0.000137;60.365521;0.000449;70.195414;1.666019;1.670303;1.673714;1.685903;1.675948;1003.798875;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;6.499886
Techno_GAS_STORAGE_gwp0;GAS_STORAGE;0.0;31.487814;1.3e-05;;421791.512328;2.424828;8,00E-06;;0.000162;56.118109;0.000588;83.048445;1.47312;1.467483;1.467923;1.472643;1.462853;1011.368373;0.000162;0.000162;0.000162;0.000162;0.000162;0.000162;0.000161;0.000161;6.4997
Techno_GAS_STORAGE_gwp1;GAS_STORAGE;0.7199999999999998;46.37373;3.3e-05;;4681.785033;0.970057;2,00E-05;;0.000449;55.700318;0.001434;79.647788;3.775497;3.776152;3.796176;3.845478;3.796347;976.271159;0.00045;0.00045;0.00045;0.000449;0.000448;0.000449;0.000446;0.000446;6.499575
Techno_GAS_STORAGE_gwp2;GAS_STORAGE;1.7199999999999998;46.351359;1.5e-05;;0.046065;0.001609;9,00E-06;;0.000204;60.365522;0.000617;70.195127;2.116993;2.113389;2.116375;2.124518;2.113051;1003.798042;0.000204;0.000204;0.000204;0.000204;0.000203;0.000203;0.000203;0.000202;6.499911
Techno_GAS_STORAGE_gwp3;GAS_STORAGE;2.72;46.351231;5,00E-06;;0.006051;0.000489;3,00E-06;;7,00E-05;60.365527;0.0002;70.195907;0.71812;0.724929;0.726365;0.734029;0.728019;1003.788511;7,00E-05;7,00E-05;7,00E-05;7,00E-05;6.9e-05;7,00E-05;6.9e-05;6.9e-05;6.499897
Techno_GAS_STORAGE_gwp4;GAS_STORAGE;3.72;46.351094;3,00E-06;;0.002303;0.0003;2,00E-06;;4.2e-05;60.365522;0.000153;70.196007;0.383342;0.383562;0.385062;0.389271;0.38554;1003.78872;4.2e-05;4.2e-05;4.2e-05;4.2e-05;4.2e-05;4.2e-05;4.2e-05;4.1e-05;6.499954
Techno_GAS_STORAGE_gwp5;GAS_STORAGE;4.72;46.351266;1.6e-05;;0.008427;0.001486;8,00E-06;;0.000173;60.365523;0.000662;70.195198;1.712906;1.703531;1.704098;1.703961;1.697495;1003.800007;0.000173;0.000173;0.000173;0.000173;0.000173;0.000173;0.000173;0.000172;6.499968
Techno_GAS_STORAGE_gwp6;GAS_STORAGE;5.72;46.351392;1,00E-05;;0.005185;0.00116;6,00E-06;;0.000137;60.365521;0.000449;70.195414;1.666019;1.670303;1.673714;1.685903;1.675948;1003.798875;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;6.499886
Techno_H2_STORAGE_gwp0;H2_STORAGE;0.0;46.40145;1.9e-05;;0.009271;11232.76677;1.4e-05;;0.000329;60.365544;0.000895;69.912019;3.129036;3.122296;3.132414;3.169853;3.131275;1025.35904;0.00033;0.00033;0.00033;0.000329;0.000329;0.000329;0.000327;0.000327;6.499472
Techno_H2_STORAGE_gwp1;H2_STORAGE;0.9000000000000004;46.332799;2.8e-05;;0.01175;0.235157;1.8e-05;;0.000418;60.365534;0.001171;70.0565;2.970461;2.935719;2.938804;2.939813;2.92218;1005.987245;0.000419;0.000419;0.000419;0.000419;0.000417;0.000418;0.000415;0.000414;6.499764
Techno_H2_STORAGE_gwp2;H2_STORAGE;1.9000000000000004;46.336038;2.9e-05;;0.011595;0.146299;1.6e-05;;0.000355;60.365523;0.001239;70.082226;3.065385;3.060819;3.065906;3.098503;3.072388;1004.869323;0.000356;0.000356;0.000356;0.000355;0.000355;0.000355;0.000353;0.000353;6.499683
Techno_H2_STORAGE_gwp3;H2_STORAGE;2.9000000000000004;46.350247;9,00E-06;;0.003604;0.010091;7,00E-06;;0.000141;60.36553;0.000377;70.188407;1.178988;1.173309;1.176025;1.187865;1.175888;1003.863531;0.000142;0.000142;0.000142;0.000142;0.000141;0.000141;0.00014;0.00014;6.49988
Techno_H2_STORAGE_gwp4;H2_STORAGE;3.9;46.351372;1.1e-05;;0.005238;0.004369;7,00E-06;;0.000151;60.365519;0.000521;70.193047;1.683949;1.69442;1.701442;1.721628;1.706878;1003.814634;0.000151;0.000151;0.000151;0.000151;0.000151;0.000151;0.00015;0.00015;6.499797
Techno_H2_STORAGE_gwp5;H2_STORAGE;4.9;46.351101;7,00E-06;;0.003186;0.001899;5,00E-06;;0.000107;60.365526;0.0003;70.194935;0.905154;0.896652;0.896176;0.897836;0.892608;1003.817301;0.000107;0.000107;0.000107;0.000107;0.000107;0.000107;0.000106;0.000106;6.49995
Techno_H2_STORAGE_gwp6;H2_STORAGE;5.9;46.352078;2.6e-05;;0.009539;0.004335;1.5e-05;;0.000309;60.365525;0.001024;70.19299;2.4762;2.461227;2.46539;2.477949;2.461019;1004.078212;0.00031;0.00031;0.00031;0.000309;0.000309;0.000309;0.000307;0.000307;6.499721
Techno_H2_STORAGE_gwp7;H2_STORAGE;6.9;46.351349;2,00E-05;;0.008389;0.002865;1.2e-05;;0.000264;60.365521;0.000816;70.194186;2.201328;2.187097;2.185727;2.189249;2.180053;1003.803634;0.000264;0.000264;0.000264;0.000264;0.000263;0.000264;0.000263;0.000262;6.499881
Techno_H2_STORAGE_gwp8;H2_STORAGE;7.9;46.351138;5,00E-06;;0.00256;0.0008;3,00E-06;;7.4e-05;60.365524;0.000228;70.1956;0.849436;0.852416;0.854501;0.861874;0.85793;1003.794448;7.4e-05;7.4e-05;7.4e-05;7.4e-05;7.4e-05;7.4e-05;7.4e-05;7.4e-05;6.499941
