folder,techno_modifiee,gwp_constr,f_BATT_LI,f_BEV_BATT,f_BIOFUELS,f_GAS_STORAGE,f_H2_STORAGE,f_PHEV_BATT,f_TS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DHN_DAILY,f_TS_HIGH_TEMP,f_CAR_FUEL_CELL,f_CAR_NG,f_CAR_DIESEL,f_CAR_HEV,f_CAR_BEV,f_CAR_PHEV,f_CAR_GASOLINE,f_CAR_METHANOL
Techno_BATT_LI_gwp0,BATT_LI,0.0,149.180156,,,,,,,,,,,176.977153,2.345592,1.290287,2.848628,4e-06,1.4e-05,0.72307,3.169302
Techno_BATT_LI_gwp1,BATT_LI,1.2999999999999972,121.270062,,,,,,,,,,,178.437716,1.001067,1.533342,1.291373,2e-05,6.4e-05,1.106443,1.084287
Techno_BATT_LI_gwp6,BATT_LI,6.299999999999997,75.060941,,,,,,,,,,,177.733475,4.487192,16.799732,10.264253,2.3e-05,6.9e-05,3.549688,1.358305
Techno_BATT_LI_gwp11,BATT_LI,11.299999999999995,68.546904,,,,,,,,,,,178.962777,2.817031,1.39134,3.571605,5e-06,1.5e-05,1.734428,1.392213
Techno_BATT_LI_gwp16,BATT_LI,16.299999999999997,66.269032,,,,,,,,,,,177.066434,1.716727,2.923643,20.715128,2.4e-05,8.8e-05,1.999904,1.425856
Techno_BATT_LI_gwp21,BATT_LI,21.3,60.737772,,,,,,,,,,,177.281921,5.143498,1.304273,1.254896,2.8e-05,8.7e-05,1.343278,1.175739
Techno_BATT_LI_gwp26,BATT_LI,26.3,59.89814,,,,,,,,,,,176.986176,6.283449,5.419146,3.098417,3e-06,9e-06,1.184756,1.230213
Techno_BATT_LI_gwp31,BATT_LI,31.3,58.823935,,,,,,,,,,,177.039878,6.045856,8.904828,4.557451,2.4e-05,7.3e-05,6.030347,1.586347
Techno_BATT_LI_gwp36,BATT_LI,36.3,57.281272,,,,,,,,,,,181.304879,4.087364,6.815321,3.834093,1.9e-05,5.7e-05,3.344048,2.943044
Techno_BATT_LI_gwp41,BATT_LI,41.3,53.553894,,,,,,,,,,,178.98909,2.037484,2.193804,2.302016,1e-06,4e-06,1.773495,0.853315
Techno_BATT_LI_gwp46,BATT_LI,46.3,50.875223,,,,,,,,,,,200.826169,4.088453,7.53564,6.700787,1.1e-05,4.1e-05,2.853346,6.297323
Techno_BATT_LI_gwp51,BATT_LI,51.3,48.045916,,,,,,,,,,,181.251131,2.545903,7.283299,4.62672,2e-06,7e-06,1.508579,3.258792
Techno_BATT_LI_gwp56,BATT_LI,56.3,46.455649,,,,,,,,,,,180.501305,16.171325,2.283295,2.243708,8e-06,2.3e-05,4.845822,1.213049
Techno_BATT_LI_gwp61,BATT_LI,61.3,46.351392,,,,,,,,,,,177.113846,3.283334,5.896704,1.409533,1e-05,3.1e-05,2.246471,2.394205
Techno_BEV_BATT_gwp0,BEV_BATT,0.0,,368.867477,,,,,,,,,,176.96444,1.4e-05,1.4e-05,2.6e-05,371.818417,5.5e-05,2.9e-05,1.4e-05
Techno_BEV_BATT_gwp1,BEV_BATT,1.2999999999999972,,0.001651,,,,,,,,,,177.037335,1.126864,1.102154,2.353611,0.001664,3.5e-05,1.371996,1.114833
Techno_BEV_BATT_gwp6,BEV_BATT,6.299999999999997,,8.3e-05,,,,,,,,,,177.436529,1.112698,1.090443,1.460253,8.3e-05,2.4e-05,1.592028,1.106668
Techno_BEV_BATT_gwp11,BEV_BATT,11.299999999999995,,4.3e-05,,,,,,,,,,177.009023,1.375833,1.260745,3.909737,4.4e-05,2.3e-05,1.566082,1.018037
Techno_BEV_BATT_gwp16,BEV_BATT,16.299999999999997,,7.3e-05,,,,,,,,,,179.515531,0.836245,1.367334,1.722091,7.4e-05,5.9e-05,1.64438,1.26817
Techno_BEV_BATT_gwp21,BEV_BATT,21.3,,5.9e-05,,,,,,,,,,184.364608,2.158386,3.273652,2.145177,5.9e-05,6.4e-05,1.968377,1.330751
Techno_BEV_BATT_gwp26,BEV_BATT,26.3,,5.4e-05,,,,,,,,,,181.629456,2.544354,1.202109,2.194296,5.4e-05,7.6e-05,1.28658,1.134747
Techno_BEV_BATT_gwp31,BEV_BATT,31.3,,4.2e-05,,,,,,,,,,178.408042,1.547954,1.349994,4.825212,4.3e-05,7.3e-05,2.151853,1.291266
Techno_BEV_BATT_gwp36,BEV_BATT,36.3,,1.4e-05,,,,,,,,,,180.420283,7.018815,7.966712,3.408573,1.4e-05,2.6e-05,2.62124,1.283273
Techno_BEV_BATT_gwp41,BEV_BATT,41.3,,8e-06,,,,,,,,,,178.778733,2.970322,4.766666,3.228591,8e-06,1.7e-05,3.667335,1.004995
Techno_BEV_BATT_gwp46,BEV_BATT,46.3,,2e-05,,,,,,,,,,185.726207,1.230993,0.556564,1.49732,2.1e-05,5.6e-05,1.101465,1.340983
Techno_BEV_BATT_gwp51,BEV_BATT,51.3,,2.2e-05,,,,,,,,,,178.714289,1.003023,1.142491,1.331491,2.3e-05,6.5e-05,1.031513,1.365343
Techno_BEV_BATT_gwp56,BEV_BATT,56.3,,1.5e-05,,,,,,,,,,178.763908,7.986431,1.68186,2.34885,1.5e-05,4.5e-05,1.55549,1.205683
Techno_BEV_BATT_gwp61,BEV_BATT,61.3,,1.8e-05,,,,,,,,,,177.003228,2.843635,1.108947,2.464583,1.9e-05,5.3e-05,2.106714,0.960862
12_Techno_BIOFUELS_gwp0,BIOFUELS,0.0,,,803283.422827,,,,,,,,,181.558354,0.812725,1.397605,0.894943,2e-05,5.8e-05,0.63977,1.93592
11_Techno_BIOFUELS_gwp0,BIOFUELS,0.0001999999999999,,,42.534671,,,,,,,,,182.647423,9.300234,0.627878,4.074344,1e-05,2.9e-05,1.263075,0.836309
10_Techno_BIOFUELS_gwp0,BIOFUELS,0.0006999999999999,,,28.207646,,,,,,,,,181.649774,0.829171,2.141052,1.194799,3e-05,8.8e-05,0.682397,2.378162
9_Techno_BIOFUELS_gwp0,BIOFUELS,0.0011999999999999,,,13.128013,,,,,,,,,178.711333,8.933464,1.549228,5.957708,2e-05,6.6e-05,3.37803,2.996388
8_Techno_BIOFUELS_gwp0,BIOFUELS,0.0016999999999999,,,3.079123,,,,,,,,,178.459238,2.279743,1.018403,1.123284,6e-06,1.9e-05,1.014359,1.907683
7_Techno_BIOFUELS_gwp0,BIOFUELS,0.0021999999999999,,,9.224344,,,,,,,,,177.088685,2.417739,2.380706,3.133348,3.2e-05,9.5e-05,1.439472,1.141701
6_Techno_BIOFUELS_gwp0,BIOFUELS,0.0026999999999999,,,2.348956,,,,,,,,,178.319944,4.531469,4.55081,3.294699,7e-06,2.4e-05,1.322978,1.03564
5_Techno_BIOFUELS_gwp0,BIOFUELS,0.0031999999999999,,,1.235082,,,,,,,,,177.361104,0.575466,3.294787,3.539736,7e-06,2.2e-05,3.921893,1.038223
4_Techno_BIOFUELS_gwp0,BIOFUELS,0.0036999999999999,,,0.205609,,,,,,,,,180.767216,0.857162,1.009676,1.460928,1e-06,2e-06,0.779822,2.166895
3_Techno_BIOFUELS_gwp0,BIOFUELS,0.0041999999999999,,,4.564445,,,,,,,,,177.02772,3.80146,1.343118,2.890392,3.1e-05,8.8e-05,3.190915,5.25308
2_Techno_BIOFUELS_gwp0,BIOFUELS,0.0046999999999999,,,3.023563,,,,,,,,,177.904716,1.050571,3.735277,1.502229,1.8e-05,5.5e-05,1.229858,1.328678
1_Techno_BIOFUELS_gwp0,BIOFUELS,0.0052,,,0.546181,,,,,,,,,177.27773,4.589464,10.644744,2.857428,3e-06,9e-06,1.976716,0.941833
0_Techno_BIOFUELS_gwp0,BIOFUELS,0.0057,,,1.670303,,,,,,,,,177.113846,3.283334,5.896704,1.409533,1e-05,3.1e-05,2.246471,2.394205
Techno_GAS_STORAGE_gwp0,GAS_STORAGE,0.0,,,,421791.512328,,,,,,,,177.011986,3.555942,2.748049,6.500572,1.3e-05,3.8e-05,0.822864,1.03241
Techno_GAS_STORAGE_gwp1,GAS_STORAGE,0.7199999999999998,,,,4681.785033,,,,,,,,179.214411,0.944158,3.599444,1.317147,3.3e-05,0.000103,2.162234,1.071408
Techno_GAS_STORAGE_gwp2,GAS_STORAGE,1.7199999999999998,,,,0.046065,,,,,,,,177.052169,1.351399,9.990272,3.297284,1.5e-05,4.7e-05,2.217375,4.854113
Techno_GAS_STORAGE_gwp3,GAS_STORAGE,2.72,,,,0.006051,,,,,,,,177.05109,1.862122,5.291011,24.609419,5e-06,1.6e-05,1.182672,3.267697
Techno_GAS_STORAGE_gwp4,GAS_STORAGE,3.72,,,,0.002303,,,,,,,,178.326058,3.750216,15.787588,14.366239,3e-06,1e-05,1.385349,11.870498
Techno_GAS_STORAGE_gwp5,GAS_STORAGE,4.72,,,,0.008427,,,,,,,,177.225817,7.134807,1.823691,3.327577,1.6e-05,4.2e-05,2.283042,1.289031
Techno_GAS_STORAGE_gwp6,GAS_STORAGE,5.72,,,,0.005185,,,,,,,,177.113846,3.283334,5.896704,1.409533,1e-05,3.1e-05,2.246471,2.394205
Techno_H2_STORAGE_gwp0,H2_STORAGE,0.0,,,,,11232.76677,,,,,,,177.123986,1.482949,1.195006,0.56015,1.9e-05,7.1e-05,0.470398,0.686394
Techno_H2_STORAGE_gwp1,H2_STORAGE,0.9000000000000004,,,,,0.235157,,,,,,,177.489699,5.501145,10.564083,1.301845,2.8e-05,8.9e-05,0.900201,0.892688
Techno_H2_STORAGE_gwp2,H2_STORAGE,1.9000000000000004,,,,,0.146299,,,,,,,177.790397,9.980098,1.77471,3.90605,2.9e-05,8.3e-05,1.855756,4.69356
Techno_H2_STORAGE_gwp3,H2_STORAGE,2.9000000000000004,,,,,0.010091,,,,,,,178.134833,2.512484,10.507789,4.92289,1e-05,3.3e-05,3.939227,1.509595
Techno_H2_STORAGE_gwp4,H2_STORAGE,3.9,,,,,0.004369,,,,,,,178.942094,2.164685,5.905618,4.255194,1.1e-05,3.6e-05,1.110409,1.068223
Techno_H2_STORAGE_gwp5,H2_STORAGE,4.9,,,,,0.001899,,,,,,,180.06705,3.04031,1.842354,1.955515,7e-06,2.3e-05,1.074561,1.299438
Techno_H2_STORAGE_gwp6,H2_STORAGE,5.9,,,,,0.004335,,,,,,,177.116929,3.99895,3.422146,7.427446,2.6e-05,7.6e-05,3.269601,1.222835
Techno_H2_STORAGE_gwp7,H2_STORAGE,6.9,,,,,0.002865,,,,,,,179.13398,3.319213,3.885432,1.901596,2e-05,5.9e-05,1.480947,1.078031
Techno_H2_STORAGE_gwp8,H2_STORAGE,7.9,,,,,0.0008,,,,,,,177.699467,5.05993,7.526109,14.005751,5e-06,1.7e-05,3.168287,3.227814
Techno_H2_STORAGE_gwp9,H2_STORAGE,8.9,,,,,0.001706,,,,,,,178.280039,10.409144,2.419016,7.896011,1.5e-05,5.1e-05,3.74044,5.651595
Techno_H2_STORAGE_gwp10,H2_STORAGE,9.9,,,,,0.00116,,,,,,,177.113846,3.283334,5.896704,1.409533,1e-05,3.1e-05,2.246471,2.394205
Techno_PHEV_BATT_gwp0,PHEV_BATT,0.0,,,,,,46.910316,,,,,,176.964602,5.4e-05,2.6e-05,1.6e-05,2e-05,236.427994,1.7e-05,1.7e-05
Techno_PHEV_BATT_gwp1,PHEV_BATT,1.0,,,,,,0.00868,,,,,,177.119755,1.48362,1.753378,1.309011,2.6e-05,0.043748,1.700237,1.203076
Techno_PHEV_BATT_gwp6,PHEV_BATT,6.0,,,,,,5.5e-05,,,,,,176.989178,1.824533,3.397706,0.662698,7e-06,0.000276,0.864358,1.447849
Techno_PHEV_BATT_gwp11,PHEV_BATT,11.0,,,,,,2.6e-05,,,,,,179.213954,1.585366,6.877779,1.121502,3e-06,0.000133,1.599091,3.271462
Techno_PHEV_BATT_gwp16,PHEV_BATT,16.0,,,,,,1.9e-05,,,,,,182.899495,1.910129,2.495343,1.12241,5e-06,9.6e-05,1.0095,0.981227
Techno_PHEV_BATT_gwp21,PHEV_BATT,21.0,,,,,,6e-06,,,,,,179.286275,2.445489,3.863669,1.425989,2e-06,2.9e-05,2.28956,1.230413
Techno_PHEV_BATT_gwp26,PHEV_BATT,26.0,,,,,,1.9e-05,,,,,,177.031403,4.806459,0.849307,1.214984,9e-06,9.5e-05,1.214391,1.204114
Techno_PHEV_BATT_gwp31,PHEV_BATT,31.0,,,,,,4e-06,,,,,,176.999878,1.097443,5.762863,1.715955,2e-06,1.9e-05,1.373124,1.720534
Techno_PHEV_BATT_gwp36,PHEV_BATT,36.0,,,,,,5e-06,,,,,,207.292577,0.955706,4.498736,1.319118,3e-06,2.6e-05,3.569001,0.739238
Techno_PHEV_BATT_gwp41,PHEV_BATT,41.0,,,,,,2.6e-05,,,,,,179.208576,1.730923,4.861802,2.799152,1.8e-05,0.00013,2.010722,1.468205
Techno_PHEV_BATT_gwp46,PHEV_BATT,46.0,,,,,,2.3e-05,,,,,,176.993784,1.291192,4.410989,2.668979,1.9e-05,0.000115,2.103573,1.367284
Techno_PHEV_BATT_gwp51,PHEV_BATT,51.0,,,,,,1e-05,,,,,,177.011517,5.068615,1.889338,2.475317,8e-06,4.9e-05,1.143417,1.066094
Techno_PHEV_BATT_gwp56,PHEV_BATT,56.0,,,,,,3e-06,,,,,,182.636748,1.036317,3.783275,1.349413,3e-06,1.8e-05,3.106762,1.109207
Techno_PHEV_BATT_gwp61,PHEV_BATT,61.0,,,,,,3e-06,,,,,,178.229453,4.123833,6.378153,1.863751,3e-06,1.4e-05,1.482107,1.753429
Techno_PHEV_BATT_gwp66,PHEV_BATT,66.0,,,,,,7e-06,,,,,,177.929186,2.297909,5.720924,5.771819,8e-06,3.7e-05,2.444134,1.39669
Techno_PHEV_BATT_gwp71,PHEV_BATT,71.0,,,,,,6e-06,,,,,,176.976965,10.016041,4.845474,4.887494,7e-06,3e-05,2.417923,11.960629
Techno_PHEV_BATT_gwp76,PHEV_BATT,76.0,,,,,,1e-05,,,,,,177.111616,0.585086,2.67366,1.943219,1.3e-05,5e-05,2.761788,1.071635
Techno_PHEV_BATT_gwp81,PHEV_BATT,81.0,,,,,,2.3e-05,,,,,,177.009415,7.738912,1.627772,5.245204,2.9e-05,0.000115,1.300634,1.118592
Techno_PHEV_BATT_gwp86,PHEV_BATT,86.0,,,,,,5e-06,,,,,,196.853197,2.37833,0.916359,3.238453,6e-06,2.3e-05,1.729205,1.177332
Techno_PHEV_BATT_gwp91,PHEV_BATT,91.0,,,,,,8e-06,,,,,,178.233316,4.634461,2.215283,3.829367,1.2e-05,4e-05,1.758947,1.184018
Techno_PHEV_BATT_gwp96,PHEV_BATT,96.0,,,,,,1.9e-05,,,,,,177.025646,2.919423,4.577923,5.329811,2.9e-05,9.5e-05,2.796865,1.390137
Techno_PHEV_BATT_gwp101,PHEV_BATT,101.0,,,,,,1e-05,,,,,,177.003228,2.843635,1.108947,2.464583,1.9e-05,5.3e-05,2.106714,0.960862
Techno_TS_gwp0,TS,0.0,,,,,,,0.0,,,,,178.122098,1.531401,1.286475,0.758427,6e-06,1.7e-05,0.605421,0.586331
Techno_TS_gwp1,TS,0.6200000000000001,,,,,,,0.0,,,,,181.052517,2.040552,1.40785,2.205664,1.5e-05,4.2e-05,1.991734,0.843858
Techno_TS_gwp2,TS,1.62,,,,,,,0.0,,,,,176.986501,2.22189,2.274909,4.492474,1.1e-05,3.2e-05,2.724053,1.03451
Techno_TS_gwp3,TS,2.62,,,,,,,0.0,,,,,177.004343,2.248584,3.601738,1.961857,4e-06,1.2e-05,1.623425,1.695598
Techno_TS_gwp4,TS,3.62,,,,,,,0.0,,,,,183.632598,0.821143,3.674613,1.418612,1.5e-05,5.3e-05,4.47371,0.821272
Techno_TS_gwp5,TS,4.62,,,,,,,0.0,,,,,177.175224,3.476869,2.510292,7.862876,6e-06,1.9e-05,1.832585,1.336242
Techno_TS_gwp6,TS,5.62,,,,,,,0.0,,,,,177.677554,1.480395,1.120509,1.557143,1.6e-05,5.2e-05,1.298193,0.926868
Techno_TS_DEC_DIRECT_ELEC_gwp6,TS_DEC_DIRECT_ELEC,5.62,,,,,,,,0.000243,,,,177.677554,1.480395,1.120509,1.557143,1.6e-05,5.2e-05,1.298193,0.926868
Techno_TS_DEC_HP_ELEC_gwp0,TS_DEC_HP_ELEC,0.0,,,,,,,,,1542.845082,,,177.016612,1.308557,2.765125,1.135693,1.1e-05,3.4e-05,1.109573,1.873655
Techno_TS_DEC_HP_ELEC_gwp1,TS_DEC_HP_ELEC,0.6200000000000001,,,,,,,,,63.147641,,,177.074558,6.111352,1.409894,1.503463,1.7e-05,5.4e-05,1.291345,1.168793
Techno_TS_DEC_HP_ELEC_gwp2,TS_DEC_HP_ELEC,1.62,,,,,,,,,63.116392,,,180.860347,4.804638,1.208592,1.50982,9e-06,2.7e-05,0.858841,6.130616
Techno_TS_DEC_HP_ELEC_gwp3,TS_DEC_HP_ELEC,2.62,,,,,,,,,61.993585,,,183.373806,9.509662,2.675727,3.505214,6e-06,2.1e-05,3.462339,4.321235
Techno_TS_DEC_HP_ELEC_gwp4,TS_DEC_HP_ELEC,3.62,,,,,,,,,60.434217,,,177.208084,1.211731,1.077576,0.948427,3.6e-05,9.4e-05,1.144144,1.088973
Techno_TS_DEC_HP_ELEC_gwp5,TS_DEC_HP_ELEC,4.62,,,,,,,,,60.36553,,,178.199161,1.049734,6.511712,1.872514,2.2e-05,7.1e-05,4.1511,5.142168
Techno_TS_DEC_HP_ELEC_gwp6,TS_DEC_HP_ELEC,5.62,,,,,,,,,60.365521,,,177.113846,3.283334,5.896704,1.409533,1e-05,3.1e-05,2.246471,2.394205
Techno_TS_DHN_DAILY_gwp0,TS_DHN_DAILY,0.0,,,,,,,,,,5784.860902,,177.677554,1.480395,1.120509,1.557143,1.6e-05,5.2e-05,1.298193,0.926868
Techno_TS_DHN_DAILY_gwp1,TS_DHN_DAILY,1.2000000000000028,,,,,,,,,,87.888808,,179.110918,2.790663,1.447066,2.036625,3e-05,9.5e-05,2.406121,1.574451
Techno_TS_DHN_DAILY_gwp4,TS_DHN_DAILY,4.200000000000003,,,,,,,,,,0.001351,,177.267742,5.281144,1.989452,1.964558,2.4e-05,6.5e-05,1.200307,1.050218
Techno_TS_DHN_DAILY_gwp7,TS_DHN_DAILY,7.200000000000003,,,,,,,,,,0.000738,,176.988529,3.694097,4.800157,1.996271,2.8e-05,8.7e-05,1.877724,2.384969
Techno_TS_DHN_DAILY_gwp10,TS_DHN_DAILY,10.200000000000005,,,,,,,,,,0.000457,,189.481991,6.24239,0.483003,2.275201,2.2e-05,6.7e-05,2.287605,0.590866
Techno_TS_DHN_DAILY_gwp13,TS_DHN_DAILY,13.200000000000005,,,,,,,,,,6.2e-05,,177.521852,1.544106,5.186408,1.960374,5e-06,1.5e-05,4.866072,3.178263
Techno_TS_DHN_DAILY_gwp16,TS_DHN_DAILY,16.200000000000003,,,,,,,,,,0.000331,,177.386961,1.955411,3.773873,0.849213,2.9e-05,8.2e-05,0.856581,3.492584
Techno_TS_DHN_DAILY_gwp19,TS_DHN_DAILY,19.200000000000003,,,,,,,,,,0.000282,,179.94136,3.094991,1.451224,2.749606,2.9e-05,8.3e-05,2.24302,1.246329
Techno_TS_DHN_DAILY_gwp22,TS_DHN_DAILY,22.200000000000003,,,,,,,,,,0.000141,,177.230844,15.218141,3.0026,2.417526,1.7e-05,5.3e-05,1.521764,1.831527
Techno_TS_DHN_DAILY_gwp25,TS_DHN_DAILY,25.200000000000003,,,,,,,,,,3e-05,,181.086533,3.524144,12.803882,3.481154,4e-06,1.3e-05,1.918878,1.367848
Techno_TS_DHN_DAILY_gwp28,TS_DHN_DAILY,28.200000000000003,,,,,,,,,,3.1e-05,,181.28095,26.022671,2.913827,5.472385,5e-06,1.4e-05,3.471176,5.162021
Techno_TS_DHN_DAILY_gwp31,TS_DHN_DAILY,31.200000000000003,,,,,,,,,,8.3e-05,,177.038439,6.430287,1.284977,2.854418,1.5e-05,4.7e-05,1.518045,1.088809
Techno_TS_DHN_DAILY_gwp34,TS_DHN_DAILY,34.2,,,,,,,,,,6.4e-05,,177.523788,0.667874,0.848064,2.588048,1.3e-05,4.1e-05,2.441483,3.73426
Techno_TS_DHN_DAILY_gwp37,TS_DHN_DAILY,37.2,,,,,,,,,,9.3e-05,,177.003228,2.843635,1.108947,2.464583,1.9e-05,5.3e-05,2.106714,0.960862
Techno_TS_HIGH_TEMP_gwp0,TS_HIGH_TEMP,0.0,,,,,,,,,,,1087.825476,191.529743,2.243231,2.27102,4.154205,4e-06,1.5e-05,2.703539,2.917721
Techno_TS_HIGH_TEMP_gwp1,TS_HIGH_TEMP,0.8899999999999997,,,,,,,,,,,71.936741,178.156478,1.055403,2.002742,1.153006,6e-06,2.2e-05,0.915646,1.065112
Techno_TS_HIGH_TEMP_gwp2,TS_HIGH_TEMP,1.89,,,,,,,,,,,71.921721,190.333713,2.442116,2.581381,4.202406,5e-06,1.6e-05,4.359318,1.179677
Techno_TS_HIGH_TEMP_gwp3,TS_HIGH_TEMP,2.89,,,,,,,,,,,70.88704,177.892027,3.560544,5.001858,1.249717,5e-06,1.5e-05,1.108012,1.340989
Techno_TS_HIGH_TEMP_gwp4,TS_HIGH_TEMP,3.89,,,,,,,,,,,70.818117,177.968914,4.95622,6.58932,7.972087,2.8e-05,8.9e-05,2.700071,1.31937
Techno_TS_HIGH_TEMP_gwp5,TS_HIGH_TEMP,4.89,,,,,,,,,,,70.805251,177.005046,52.553851,2.810779,3.072066,1.4e-05,4.2e-05,3.107673,1.400404
Techno_TS_HIGH_TEMP_gwp6,TS_HIGH_TEMP,5.89,,,,,,,,,,,70.195414,177.113846,3.283334,5.896704,1.409533,1e-05,3.1e-05,2.246471,2.394205
